time,#vm,-cost
1537724,38,-58433512
1602726,38,-60903588
1544285,38,-58682830
1636869,38,-62201022
1859605,24,-44630520
1857951,24,-44590824
1812486,24,-43499664
1810781,24,-43458744
1820076,24,-43681824
1863037,12,-22356444
1831060,12,-21972720
1884486,12,-22613832
2033831,12,-24405972
1836788,12,-22041456
1536520,48,-73752960
1603233,48,-76955184
1669720,48,-80146560
1553519,48,-74568912
1610652,26,-41876952
1696162,26,-44100212
1588515,26,-41301390
1771503,26,-46059078
1741634,26,-45282484
1920864,10,-19208640
1962806,10,-19628060
1961819,10,-19618190
1933248,10,-19332480
1964210,10,-19642100
2562687,2,-5125374
2495203,2,-4990406
2456108,2,-4912216
2709919,2,-5419838
2546948,2,-5093896
2639144,2,-5278288
2711840,2,-5423680
2690113,2,-5380226
2621538,2,-5243076
2537488,2,-5074976
1724762,30,-51742860
1666523,30,-49995690
1566445,30,-46993350
1687165,30,-50614950
1745103,30,-52353090
1886123,20,-37722460
1985990,20,-39719800
1852596,20,-37051920
1720865,20,-34417300
1877099,20,-37541980
1777236,18,-31990248
1633543,18,-29403774
1701042,18,-30618756
1879777,18,-33835986
1692991,18,-30473838
2628293,8,-21026344
2666758,8,-21334064
2589113,8,-20712904
2566060,8,-20528480
2618162,8,-20945296
1565415,40,-62616600
1546884,40,-61875360
1527133,40,-61085320
1583165,40,-63326600
1524631,40,-60985240
1760545,36,-63379620
1681340,36,-60528240
1535349,36,-55272564
1535654,36,-55283544
1572732,32,-50327424
1621214,32,-51878848
1599501,32,-51184032
1656530,32,-53008960
1549031,32,-49568992
1835020,16,-29360320
1907582,16,-30521312
1963977,16,-31423632
1800794,16,-28812704
1913649,16,-30618384
1522911,46,-70053906
1599286,46,-73567156
1560550,46,-71785300
1553409,46,-71456814
1950212,14,-27302968
2025059,14,-28350826
1922392,14,-26913488
2019932,14,-28279048
1983598,14,-27770372
2576117,6,-15456702
2614269,6,-15685614
2528805,6,-15172830
2575816,6,-15454896
2580404,6,-15482424
1598233,34,-54339922
1510500,34,-51357000
1760245,24,-42245880
1832064,24,-43969536
1679351,24,-40304424
1631719,34,-55478446
1619675,34,-55068950
1532921,34,-52119314
1811292,24,-43471008
1803480,24,-43283520
1888784,22,-41553248
1864031,22,-41008682
1878200,22,-41320400
1853149,22,-40769278
1870924,22,-41160328
1561206,42,-65570652
1564620,42,-65714040
1678784,42,-70508928
1451493,42,-60962706
1611618,42,-67687956
1529659,44,-67304996
1576867,44,-69382148
1557183,44,-68516052
1532057,44,-67410508
2604624,4,-10418496
1844153,4,-7376612
2551378,4,-10205512
1850355,4,-7401420
1800694,4,-7202776
2623220,4,-10492880
1859978,4,-7439912
2669295,4,-10677180
2482967,4,-9931868
1697013,28,-47516364
1612611,28,-45153108
1664962,28,-46618936
1670393,28,-46771004
1689937,28,-47318236
